CBSAGEO	# of provs in CBSAGEO	CBSAGEO unadjusted wages	CBSAGEO hours	CBSAGEO unadjusted AHW	CBSAGEO unadjusted wage index 	CBSAGEO occmix wages	CBSAGEO occmix AHW	CBSAGEO occmix wage index	cbsarnsal	cbsarnhr	cbsalpnstsal	cbsalpnsthr	cbsanaoratsal	cbsanaorathr	cbsamasal	cbsamahr	cbsanursesal	cbsanursehr	cbsaallothersal	cbsaallotherhr	cbsatotalsal	cbsatotalhr	cbsarnpct	cbsalpnstpct	cbsanaoratspct	cbsamapct	cbsanursevar	cbsaallothervar	cbsaadjrnahw	cbsaadjlpnstahw	cbsaadjnaoratahw	cbsaadjmaahw	cbsaadjnurseahw	cbsanurseoccmixfactor
53	7	"$208,757,559.20"	"4,920,351"	$42.43	0.9602	"$205,136,972.82"	$41.69	0.9443	"49,090,005"	"1,339,624"	"2,436,248"	"91,528"	"4,064,117"	"237,456"	"707,878"	"37,707"	"56,298,248"	"1,706,315"	"101,345,206"	"3,342,834"	"157,643,455"	"5,049,148"	0.78510	0.05364	0.13916	0.02210	0.35712	0.64288	32.69	1.32	2.36	0.40	36.77	0.9516
10180	5	"$209,705,735.95"	"5,570,530"	$37.65	0.8520	"$211,815,845.99"	$38.02	0.8612	"54,421,331"	"1,519,769"	"6,018,211"	"293,297"	"6,161,113"	"498,121"	0	0	"66,600,656"	"2,311,186"	"83,369,048"	"2,989,494"	"149,969,704"	"5,300,680"	0.65757	0.12690	0.21553	0.00000	0.44409	0.55591	27.38	3.13	3.66	0.00	34.17	1.0240
10380	4	"$33,053,845.21"	"2,330,137"	$14.19	0.3211	"$32,004,989.53"	$13.74	0.3112	"11,371,185"	"790,581"	"2,172,094"	"227,508"	0	0	0	0	"13,543,279"	"1,018,089"	"15,894,889"	"1,363,107"	"29,438,168"	"2,381,196"	0.77653	0.22347	0.00000	0.00000	0.46006	0.53994	32.33	5.52	0.00	0.00	37.85	0.9244
10420	6	"$732,728,894.18"	"19,898,300"	$36.82	0.8332	"$722,610,352.88"	$36.32	0.8227	"170,986,000"	"5,081,764"	"10,735,045"	"480,560"	"15,191,926"	"1,035,153"	"1,548,292"	"100,522"	"198,461,262"	"6,697,999"	"317,278,944"	"12,354,654"	"515,740,206"	"19,052,653"	0.75870	0.07175	0.15455	0.01501	0.38481	0.61519	31.59	1.77	2.62	0.27	36.25	0.9652
10500	1	"$188,860,870.22"	"5,296,859"	$35.66	0.8070	"$187,664,036.07"	$35.43	0.8025	"56,072,278"	"1,524,519"	"2,848,978"	"140,768"	"4,138,182"	"339,012"	"935,424"	"88,341"	"63,994,862"	"2,092,640"	"86,673,275"	"3,293,032"	"150,668,137"	"5,385,672"	0.72851	0.06727	0.16200	0.04222	0.42474	0.57526	30.34	1.66	2.75	0.77	35.52	0.9851
10540	1	"$73,173,707.02"	"1,528,847"	$47.86	1.0831	"$73,894,204.32"	$48.33	1.0947	"17,020,378"	"340,028"	"813,942"	"38,761"	"909,578"	"49,396"	"1,678,271"	"83,949"	"20,422,169"	"512,134"	"31,843,970"	"1,036,980"	"52,266,139"	"1,549,114"	0.66394	0.07569	0.09645	0.16392	0.39073	0.60927	27.65	1.87	1.64	2.97	34.13	1.0252
10580	8	"$1,147,415,755.50"	"31,516,276"	$36.41	0.8239	"$1,156,524,259.00"	$36.70	0.8313	"318,456,859"	"8,482,186"	"17,674,325"	"847,549"	"42,024,842"	"2,911,865"	"2,964,145"	"200,423"	"381,120,171"	"12,442,023"	"546,753,687"	"19,335,946"	"927,873,858"	"31,777,969"	0.68174	0.06812	0.23403	0.01611	0.41075	0.58925	28.39	1.68	3.97	0.29	34.33	1.0192
10740	6	"$1,136,666,738.40"	"28,321,783"	$40.13	0.9081	"$1,132,744,168.20"	$40.00	0.9060	"352,568,924"	"8,585,706"	"20,223,213"	"827,392"	"20,285,581"	"1,215,819"	"21,228,411"	"1,334,107"	"414,306,129"	"11,963,023"	"538,313,335"	"17,670,176"	"952,619,464"	"29,633,199"	0.71769	0.06916	0.10163	0.11152	0.43491	0.56509	29.88	1.71	1.72	2.02	35.33	0.9904
10780	3	"$255,403,028.58"	"6,757,519"	$37.80	0.8554	"$256,043,519.95"	$37.89	0.8582	"68,328,244"	"1,989,791"	"5,865,146"	"259,655"	"7,069,419"	"597,806"	"25,845"	"1,916"	"81,288,654"	"2,849,169"	"114,500,492"	"4,091,392"	"195,789,146"	"6,940,561"	0.69838	0.09113	0.20982	0.00067	0.41518	0.58482	29.08	2.25	3.56	0.01	34.90	1.0026
10900	12	"$1,304,438,368.60"	"31,165,730"	$41.85	0.9470	"$1,358,353,908.00"	$43.58	0.9871	"271,274,923"	"7,750,138"	"8,908,988"	"374,758"	"57,873,248"	"3,768,600"	"22,629,337"	"1,257,957"	"360,686,496"	"13,151,452"	"485,025,354"	"15,725,242"	"845,711,850"	"28,876,694"	0.58930	0.02850	0.28655	0.09565	0.42649	0.57351	24.54	0.70	4.86	1.73	31.83	1.0993
