FY 2020 IPPS Final Rule: Implementation of Section 3133 of the Affordable Care Act- Medicare DSH- Supplemental Data																
Medicare CCN	Projected to Receive DSH in FY 2020	IHS or PR	Rural Community Hospital Demonstration	New Hospital	Medicaid Days 2013 (Annualized)	Length of 2013 Reporting Period	2017 SSI Days	2015 UCC (Annualized)	Length of 2015 Reporting Period	Factor 3	Total Uncompensated Care Payment	Estimated Per Claim Amount	BILLSV32	BILLSV33	BILLSV34	Claims Average
[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
020898	NO	YES	NO	NO			N/A	N/A	N/A	0.000000000	N/A	N/A	N/A	N/A	N/A	N/A
030002	YES	NO	NO	NO	"50,221"	365	"4,908"	"$21,482,488.00"	365	0.000713866	"$5,961,210.35"	"$1,119.48"	"5,252"	"5,334"	"5,388"	"5,325"
030006	YES	NO	NO	NO	"39,600"	365	"3,488"	"$9,086,778.00"	365	0.000301955	"$2,521,504.73"	$347.41	"6,938"	"7,427"	"7,408"	"7,258"
030007	SCH	NO	NO	NO	"3,776"	365	453	"$6,716,021.94"	366	0.000223174	N/A	"$1,129.48"	"1,649"	"1,501"	"1,801"	"1,650"
030010	YES	NO	NO	NO	"7,491"	365	"2,665"	"$3,544,833.91"	396	0.000117795	"$983,661.70"	$400.51	"2,361"	"2,480"	"2,528"	"2,456"
030011	YES	NO	NO	NO	"13,942"	365	"1,319"	"$2,699,566.73"	396	0.000089707	"$749,107.14"	$199.55	"3,755"	"3,805"	"3,701"	"3,754"
030012	SCH	NO	NO	NO	"5,749"	365	486	"$21,313,219.00"	365	0.000708241	N/A	"$1,298.12"	"3,454"	"4,698"	"4,357"	"4,556"
030013	SCH	NO	NO	NO	"15,267"	365	"2,767"	"$14,856,544.00"	365	0.000493685	N/A	$692.64	"6,289"	"5,867"	"5,700"	"5,952"
030014	YES	NO	NO	NO	"11,162"	365	"1,784"	"$9,021,886.00"	365	0.000299799	"$2,503,497.74"	$674.98	"3,852"	"3,778"	"3,498"	"3,709"
030016	YES	NO	NO	NO	"7,499"	343	915	"$5,318,790.00"	365	0.000176744	"$1,475,919.64"	$906.58	"1,696"	"1,590"	"1,598"	"1,628"
030022	YES	NO	NO	NO	"42,795"	365	"1,268"	"$47,886,044.36"	366	0.001591260	"$13,287,975.92"	"$19,951.92"	604	675	720	666
030023	SCH	NO	NO	NO	"16,848"	365	"2,217"	"$10,460,298.65"	366	0.000347597	N/A	$730.23	"3,939"	"3,788"	"4,198"	"3,975"
