FY 2020 IPPS Final Rule Correction Notice: Implementation of Section 3133 of the Affordable Care Act- Medicare DSH- Supplemental Data																
Medicare CCN	Projected to Receive DSH in FY 2020	IHS or PR	Rural Community Hospital Demonstration	New Hospital	Medicaid Days 2013 (Annualized)	Length of 2013 Reporting Period	2017 SSI Days	2015 UCC (Annualized)	Length of 2015 Reporting Period	Factor 3	Total Uncompensated Care Payment	Estimated Per Claim Amount	BILLSV33	BILLSV34	BILLSV35	Claims Average
[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
020001	YES	NO	NO	NO	"34,213"	365	"3,050"	"$40,910,617.00"	365	0.001360579	"$11,361,651.73"	"$2,483.96"	"4,513"	"4,311"	"4,899"	"4,574"
020006	SCH	NO	NO	NO	"2,017"	365	531	"$6,820,044.00"	365	0.000226817	N/A	"$1,201.81"	"1,538"	"1,615"	"1,575"	"1,576"
020008	SCH	NO	YES	NO	"1,255"	365	117	"$4,477,211.67"	366	0.000148900	N/A	"$2,216.41"	531	574	579	561
020012	SCH	NO	NO	NO	"5,198"	365	531	"$13,195,834.00"	365	0.000438859	N/A	"$3,203.44"	"1,031"	"1,141"	"1,259"	"1,144"
020017	YES	NO	NO	NO	"4,154"	365	"1,453"	"$11,072,690.00"	365	0.000368248	"$3,075,095.34"	"$1,367.92"	"2,074"	"2,187"	"2,483"	"2,248"
020018	YES	YES	NO	NO	"5,181"	365	202	N/A	N/A	0.000143606	"$1,199,192.62"	"$4,739.89"	235	271	252	253
020024	SCH	NO	YES	NO	"1,651"	365	309	"$6,293,680.04"	366	0.000209311	N/A	"$1,843.75"	889	896	"1,060"	948
020026	YES	YES	NO	NO	"15,131"	365	"1,884"	N/A	N/A	0.000453920	"$3,790,500.18"	"$2,345.61"	"1,417"	"1,609"	"1,823"	"1,616"
020027	NO	NO	NO	NO	683	365		"$5,324,365.00"	365	0.000177074	N/A	N/A	N/A	N/A	N/A	N/A
020898	NO	YES	NO	NO			N/A	N/A	N/A	0.000000000	N/A	N/A	N/A	N/A	N/A	N/A
030002	YES	NO	NO	NO	"50,221"	365	"4,908"	"$21,482,488.00"	365	0.000714451	"$5,966,093.03"	"$1,120.39"	"5,252"	"5,334"	"5,388"	"5,325"
030006	YES	NO	NO	NO	"39,600"	365	"3,488"	"$9,086,778.00"	365	0.000302202	"$2,523,570.03"	$347.69	"6,938"	"7,427"	"7,408"	"7,258"
030007	SCH	NO	NO	NO	"3,776"	365	453	"$6,716,021.94"	366	0.000223357	N/A	"$1,130.40"	"1,649"	"1,501"	"1,801"	"1,650"
030010	YES	NO	NO	NO	"7,491"	365	"2,665"	"$3,544,833.91"	396	0.000117892	"$984,467.39"	$400.84	"2,361"	"2,480"	"2,528"	"2,456"
030011	YES	NO	NO	NO	"13,942"	365	"1,319"	"$2,699,566.73"	396	0.000089780	"$749,720.71"	$199.71	"3,755"	"3,805"	"3,701"	"3,754"
030012	SCH	NO	NO	NO	"5,749"	365	486	"$21,313,219.00"	365	0.000708821	N/A	"$1,299.18"	"4,613"	"4,698"	"4,357"	"4,556"
030013	SCH	NO	NO	NO	"15,267"	365	"2,767"	"$14,856,544.00"	365	0.000494089	N/A	$693.20	"6,289"	"5,867"	"5,700"	"5,952"
030014	YES	NO	NO	NO	"11,162"	365	"1,784"	"$9,021,886.00"	365	0.000300044	"$2,505,548.30"	$675.53	"3,852"	"3,778"	"3,498"	"3,709"
030016	YES	NO	NO	NO	"7,499"	343	915	"$5,318,790.00"	365	0.000176889	"$1,477,128.53"	$907.33	"1,696"	"1,590"	"1,598"	"1,628"
030022	YES	NO	NO	NO	"42,795"	365	"1,268"	"$47,886,044.36"	366	0.001592564	"$13,298,859.78"	"$19,968.26"	604	675	720	666
030023	SCH	NO	NO	NO	"16,848"	365	"2,217"	"$10,460,298.65"	366	0.000347882	N/A	$730.82	"3,939"	"3,788"	"4,198"	"3,975"
030024	YES	NO	NO	NO	"51,263"	365	"3,443"	"$25,415,401.76"	366	0.000845249	"$7,058,337.53"	"$1,312.93"	"5,102"	"5,233"	"5,794"	"5,376"
030030	YES	NO	NO	NO	"16,821"	365	"1,268"	"$8,919,076.17"	366	0.000296625	"$2,476,996.06"	"$2,197.87"	"1,011"	"1,120"	"1,250"	"1,127"
030036	YES	NO	NO	NO	"18,054"	365	"1,673"	"$15,603,504.67"	366	0.000518931	"$4,333,388.22"	$688.60	"5,696"	"6,316"	"6,868"	"6,293"
030037	YES	NO	NO	NO	"8,070"	365	936	"$3,531,786.87"	366	0.000117458	"$980,843.98"	$686.87	"1,445"	"1,499"	"1,340"	"1,428"
