PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
330027,01-JAN-18,31-DEC-18,As Submitted,355861027,903239945,324347303
330028,01-JAN-18,31-DEC-18,As Submitted,272740778,556678490,446771491
330030,01-JAN-18,31-DEC-18,Amended,90756800,149157104,127394447
330033,01-JAN-18,31-DEC-18,As Submitted,51975805,47221601,113503115
330043,01-JAN-18,31-DEC-18,As Submitted,421272485,1413437240,479145099
330044,01-JAN-18,31-DEC-18,Amended,257096593,335380319,472553194
330045,01-JAN-18,31-DEC-18,As Submitted,314790336,799641074,376698286
330046,01-JAN-18,31-DEC-18,As Submitted,989926519,2648932080,1182966474
330047,01-JUL-18,30-JUN-19,As Submitted,160562099,130202403,317844411
330049,01-JAN-18,31-DEC-18,As Submitted,107271568,145470015,172246491
330055,01-JAN-18,31-DEC-18,As Submitted,631293599,1622586113,858941434
330056,01-JAN-18,31-DEC-18,As Submitted,327442816,980026427,637938389
330057,01-JUL-18,30-JUN-19,As Submitted,508147897,1059811181,965275572
330058,01-JAN-18,31-DEC-18,As Submitted,102732992,134651450,136830016
330059,01-JAN-18,31-DEC-18,Amended,2466311695,8206602611,4983108219
330061,01-JAN-18,31-MAR-18,As Submitted,60576462,110980891,126639548
330065,01-JAN-18,31-DEC-18,As Submitted,95440322,69342883,109683854
330073,01-JAN-18,31-DEC-18,As Submitted,85536000,72441026,167478148
330074,01-JAN-18,31-DEC-18,As Submitted,138115524,129508609,255111549
330078,01-JAN-18,31-DEC-18,As Submitted,294368568,429658081,323992062
330079,01-JAN-18,31-DEC-18,As Submitted,97110831,71166354,170084467
330080,01-JUL-18,30-JUN-19,Amended,553096238,259345998,281113583
330084,01-OCT-17,30-SEP-18,Amended,78100953,54379311,120750633
330085,01-JAN-18,31-DEC-18,As Submitted,79447833,41890626,128940384
330086,01-JAN-18,31-DEC-18,As Submitted,75055489,162066941,96551764
330088,01-JAN-18,31-DEC-18,As Submitted,50843789,105339377,76210237
330090,01-JAN-18,31-DEC-18,As Submitted,194797254,269904476,442586265
330094,01-JAN-18,31-DEC-18,As Submitted,118822111,123970072,260633274
330096,01-JAN-18,31-DEC-18,As Submitted,33633145,30039240,57625219
330100,01-JAN-18,31-DEC-18,Amended,114928014,16502065,357424984
330101,01-JAN-18,31-DEC-18,As Submitted,4919290757,13425332239,5195118989
330102,01-JAN-18,31-DEC-18,Amended,162019668,263787440,126101654
330103,01-JAN-18,31-DEC-18,As Submitted,167845779,127690875,295531461
330104,01-JAN-18,31-DEC-18,As Submitted,245633950,652123626,505399489
330106,01-JAN-18,31-DEC-18,As Submitted,1566921603,5151841452,2433107273
330107,01-JAN-18,31-DEC-18,As Submitted,183684628,551901167,243196824
330108,01-JAN-18,31-DEC-18,As Submitted,38799568,63668694,61214981
330111,01-JAN-18,31-DEC-18,As Submitted,24199919,16523942,29229030
330115,01-JAN-18,31-DEC-18,As Submitted,81281506,75775686,141626148
330119,01-JAN-18,31-DEC-18,As Submitted,923153259,2534947182,1299854890
330125,01-JAN-18,31-DEC-18,Amended,737201481,993150491,1119464880
330126,01-JAN-18,31-DEC-18,As Submitted,433382504,1070538850,685165116
330127,01-JUL-18,30-JUN-19,As Submitted,649540641,330400631,318725353
330128,01-JUL-18,30-JUN-19,As Submitted,596593703,324524890,272068813
330132,01-JAN-18,19-FEB-18,As Submitted,3223152,1177375,4950292
330135,01-JAN-18,31-DEC-18,As Submitted,74635947,227219319,271951443
330136,01-JAN-18,31-DEC-18,Amended,373853760,270964934,614403321
330140,01-JUL-18,30-JUN-19,As Submitted,521072534,870375321,571000054
330141,01-JAN-18,31-DEC-18,As Submitted,249123237,820276871,599683212
330144,01-JAN-18,31-DEC-18,As Submitted,23969112,26080419,46392397
330151,01-JAN-18,31-DEC-18,As Submitted,27920487,8565144,59474244
330153,01-JAN-18,31-DEC-18,As Submitted,341727197,642354285,668276669
330154,01-JAN-18,31-DEC-18,Amended,,2376395583,5553403502
330157,01-JAN-18,31-DEC-18,As Submitted,193215072,208230028,388417689
330158,01-JAN-18,31-DEC-18,As Submitted,316390630,1217157411,860635711
330160,01-JAN-18,31-DEC-18,As Submitted,791262310,2021990889,1244751242
330162,01-JAN-18,31-DEC-18,As Submitted,238535665,345598560,402482426
330163,01-JAN-18,31-DEC-18,As Submitted,56666771,92040177,99314590
330164,01-JUL-18,30-JUN-19,As Submitted,293043627,362613314,442791181
330166,01-JAN-18,31-DEC-18,As Submitted,8656121,100248,23099764
330167,01-SEP-18,31-JUL-19,As Submitted,957956230,3828849172,3914691770
330169,01-JAN-18,31-DEC-18,As Submitted,795505431,1732393542,1471666607
330175,01-JAN-18,31-DEC-18,As Submitted,80875809,74482003,121988809
330180,01-JUL-18,30-JUN-19,Amended,200008966,243220553,514978679
330181,01-JAN-18,31-DEC-18,As Submitted,116581830,312298438,188947309
330182,01-JAN-18,31-DEC-18,As Submitted,546673570,1995873221,1350725501
330184,01-JAN-18,31-DEC-18,As Submitted,155420663,321758658,170673228
330185,01-JAN-18,31-DEC-18,As Submitted,297769068,748168596,525633627
330188,01-JAN-18,31-DEC-18,Amended,88047212,77564302,102133064
330191,01-JAN-18,31-DEC-18,Amended,305533256,395527096,587788216
330193,01-JAN-18,31-DEC-18,As Submitted,217025340,302836126,178203926
330194,01-JAN-18,31-DEC-18,As Submitted,903794523,2426464300,1123096829
330195,01-JAN-18,31-DEC-18,As Submitted,2065802387,6300606390,3377994401
330196,01-JUL-18,30-JUN-19,Amended,427369918,261972358,165822593
330197,01-JAN-18,31-DEC-18,As Submitted,142178999,83784485,286915365
330198,01-JAN-18,31-DEC-18,As Submitted,417792577,1404838496,1014361298
330199,01-JUL-18,30-JUN-19,As Submitted,293093172,147345825,145747348
330201,01-JAN-18,31-DEC-18,Amended,278785203,727569245,209911468
330202,01-JUL-18,30-JUN-19,As Submitted,692306140,376632402,315673738
330203,01-JAN-18,31-DEC-18,As Submitted,393563600,500068903,358078129
330204,01-JUL-18,30-JUN-19,As Submitted,822918708,508557304,314361405
330205,01-JAN-18,31-DEC-18,As Submitted,58419733,152537285,277613294
330208,01-JAN-18,31-DEC-18,As Submitted,241590497,483028701,342029380
