PROV	MAC	CBSAGEO	FROM	TO	 RNSAL 	 RNHR 	rnahw	 LPNSTSAL 	 LPNSTHR 	lpnstahw	 naoratsal 	 NAORATHR 	naoratahw	MASAL	MAHR	maahw	nursesal	nursehr	nurseahw	allothersal	allotherhr	allotherahw	totalsal	totalhr	totalahw
010099	10001	01	01/01/2016	12/31/2016	" 2,796,118 "	" 112,433 "	24.8692	" 237,495 "	" 15,236 "	15.5878	" 162,304 "	" 16,881 "	9.6146	0 	0 	0.0000	"3,195,917"	"144,550"	22.1094	"4,408,690"	"210,277"	20.9661	"7,604,607"	"354,827"	21.4319
010100	10001	19300	01/01/2016	12/31/2016	" 17,282,938 "	" 582,831 "	29.6534	" 979,367 "	" 51,684 "	18.9491	" 2,961,333 "	" 238,784 "	12.4017	"882,523 "	"49,185 "	17.9429	"22,106,161"	"922,484"	23.9637	"26,492,971"	"1,025,813"	25.8263	"48,599,132"	"1,948,297"	24.9444
010101	10001	01	01/01/2016	12/31/2016	" 4,380,912 "	" 143,945 "	30.4347	" 112,455 "	" 5,411 "	20.7845	" 640,618 "	" 53,478 "	11.9790	0 	0 	0.0000	"5,133,984"	"202,833"	25.3113	"7,232,308"	"297,972"	24.2717	"12,366,292"	"500,806"	24.6928
010102	10001	01	01/01/2016	12/31/2016	" 638,652 "	" 23,100 "	27.6473	" 181,474 "	" 11,482 "	15.8051	" 88,268 "	" 8,475 "	10.4151	0 	0 	0.0000	"908,394"	"43,057"	21.0975	"1,467,144"	"66,960"	21.9108	"2,375,538"	"110,017"	21.5925
010103	10001	13820	01/01/2016	12/31/2016	" 27,926,780 "	" 907,777 "	30.7639	" 1,251,445 "	" 57,019 "	21.9478	" 3,596,793 "	" 303,872 "	11.8366	0 	0 	0.0000	"32,775,018"	"1,268,668"	25.8342	"39,744,862"	"1,482,122"	26.8162	"72,519,880"	"2,750,790"	26.3633
010104	10001	13820	01/01/2016	12/31/2016	" 28,255,037 "	" 815,713 "	34.6385	" 2,895,949 "	" 120,417 "	24.0493	" 3,530,453 "	" 274,087 "	12.8808	0 	0 	0.0000	"34,681,439"	"1,210,217"	28.6572	"53,797,970"	"2,022,242"	26.6031	"88,479,409"	"3,232,459"	27.3722
010108	10001	33860	01/01/2016	12/31/2016	" 6,352,803 "	" 180,067 "	35.2802	" 140,768 "	" 7,514 "	18.7341	" 553,486 "	" 48,207 "	11.4815	"280,333 "	"23,711 "	11.8228	"7,327,390"	"259,499"	28.2367	"12,421,900"	"442,631"	28.0638	"19,749,289"	"702,130"	28.1277
010109	10001	46220	01/01/2016	12/31/2016	" 868,154 "	" 28,852 "	30.0904	" 62,347 "	" 3,596 "	17.3379	" 188,095 "	" 18,689 "	10.0646	"24,219 "	"2,081 "	11.6367	"1,142,815"	"53,218"	21.4744	"3,750,068"	"147,997"	25.3389	"4,892,883"	"201,214"	24.3168
010110	10001	01	01/01/2016	12/31/2016	" 1,137,850 "	" 30,793 "	36.9516	" 107,120 "	" 5,972 "	17.9370	" 172,305 "	" 15,591 "	11.0516	"35,586 "	"3,342 "	10.6481	"1,452,861"	"55,698"	26.0846	"2,691,058"	"130,180"	20.6718	"4,143,919"	"185,878"	22.2938
010112	10001	01	01/01/2016	12/31/2016	" 2,616,460 "	" 100,183 "	26.1169	" 511,858 "	" 31,649 "	16.1732	" 189,536 "	" 22,277 "	8.5083	0 	0 	0.0000	"3,317,854"	"154,108"	21.5294	"4,767,502"	"292,133"	16.3196	"8,085,357"	"446,241"	18.1188
010113	10001	33660	01/01/2016	12/31/2016	" 48,544,709 "	" 1,619,771 "	29.9701	" 728,056 "	" 36,247 "	20.0860	" 11,787,065 "	" 837,740 "	14.0701	"3,857,895 "	"230,334 "	16.7491	"64,917,725"	"2,724,092"	23.8310	"72,654,117"	"2,642,443"	27.4951	"137,571,842"	"5,366,535"	25.6351
010114	10001	13820	01/01/2016	12/31/2016	" 15,094,348 "	" 483,317 "	31.2308	" 1,011,131 "	" 63,264 "	15.9828	" 2,344,049 "	" 176,969 "	13.2456	"58,167 "	"4,075 "	14.2758	"18,507,695"	"727,624"	25.4358	"24,783,905"	"1,105,713"	22.4144	"43,291,600"	"1,833,337"	23.6136
010118	10001	01	01/01/2016	12/31/2016	" 7,056,980 "	" 227,725 "	30.9890	" 638,782 "	" 36,196 "	17.6479	" 842,156 "	" 74,106 "	11.3642	"13,400 "	885 	15.1412	"8,551,318"	"338,912"	25.2317	"14,351,076"	"548,408"	26.1686	"22,902,394"	"887,320"	25.8107
010120	05901	01	01/01/2016	12/31/2016	" 3,221,007 "	" 120,601 "	26.7079	" 227,489 "	" 14,931 "	15.2356	" 1,386 "	 133 	10.4237	0 	0 	0.0000	"3,449,882"	"135,666"	25.4293	"4,038,926"	"193,749"	20.8461	"7,488,808"	"329,415"	22.7336
010125	10001	01	01/01/2016	12/31/2016	" 1,729,646 "	" 65,975 "	26.2167	" 57,030 "	" 3,867 "	14.7479	" 86,339 "	" 9,223 "	9.3613	0 	0 	0.0000	"1,873,015"	"79,065"	23.6896	"4,192,449"	"160,003"	26.2023	"6,065,464"	"239,068"	25.3713
010126	05901	01	01/01/2016	12/31/2016	" 3,613,112 "	" 121,425 "	29.7558	" 520,646 "	" 26,743 "	19.4685	" 616,059 "	" 55,935 "	11.0138	0 	0 	0.0000	"4,749,817"	"204,104"	23.2716	"5,462,619"	"232,265"	23.5190	"10,212,436"	"436,368"	23.4033
010128	10001	01	01/01/2016	12/31/2016	" 823,508 "	" 34,235 "	24.0546	" 319,893 "	" 20,394 "	15.6856	" 110,296 "	" 11,197 "	9.8505	0 	0 	0.0000	"1,253,697"	"65,826"	19.0456	"2,163,314"	"119,415"	18.1159	"3,417,011"	"185,241"	18.4463
010129	10001	19300	01/01/2016	12/31/2016	" 3,974,375 "	" 136,409 "	29.1357	" 330,352 "	" 17,443 "	18.9389	" 309,533 "	" 25,090 "	12.3369	"57,465 "	"4,916 "	11.6894	"4,671,725"	"183,858"	25.4094	"6,534,366"	"222,273"	29.3979	"11,206,091"	"406,131"	27.5923
010130	10001	13820	01/01/2016	12/31/2016	" 3,534,564 "	" 117,645 "	30.0443	" 198,190 "	" 10,449 "	18.9674	" 369,879 "	" 29,802 "	12.4112	0 	0 	0.0000	"4,102,633"	"157,896"	25.9831	"9,267,495"	"299,042"	30.9906	"13,370,128"	"456,938"	29.2603
010131	10001	26620	01/01/2016	12/31/2016	" 20,243,274 "	" 588,481 "	34.3992	" 2,591,332 "	" 91,891 "	28.2001	" 2,033,838 "	" 141,537 "	14.3697	0 	0 	0.0000	"24,868,444"	"821,909"	30.2569	"35,142,218"	"1,230,039"	28.5700	"60,010,662"	"2,051,948"	29.2457
010139	04011	13820	01/01/2016	12/31/2016	" 53,260,694 "	" 1,598,417 "	33.3209	" 4,044,753 "	" 196,627 "	20.5707	" 2,290,368 "	" 177,970 "	12.8694	"110,826 "	"8,793 "	12.6039	"59,706,641"	"1,981,807"	30.1274	"49,624,706"	"1,600,730"	31.0013	"109,331,347"	"3,582,537"	30.5179
010144	05901	33660	01/01/2016	12/31/2016	" 20,081,774 "	" 673,484 "	29.8178	" 985,162 "	" 49,432 "	19.9297	" 2,780,670 "	" 221,287 "	12.5659	0 	0 	0.0000	"23,847,606"	"944,202"	25.2569	"34,004,216"	"1,427,450"	23.8217	"57,851,821"	"2,371,652"	24.3930
010148	10001	01	01/01/2016	12/31/2016	" 1,282,066 "	" 48,289 "	26.5497	" 207,121 "	" 11,179 "	18.5284	" 154,692 "	" 12,834 "	12.0535	0 	0 	0.0000	"1,643,880"	"72,302"	22.7364	"3,014,108"	"138,787"	21.7174	"4,657,988"	"211,089"	22.0664
010149	10001	33860	01/01/2016	12/31/2016	" 20,020,613 "	" 619,734 "	32.3052	" 629,663 "	" 31,339 "	20.0922	" 2,019,585 "	" 163,936 "	12.3193	"20,222 "	979 	20.6631	"22,690,083"	"815,987"	27.8069	"33,461,327"	"1,167,595"	28.6583	"56,151,410"	"1,983,583"	28.3081
010150	05901	01	01/01/2016	12/31/2016	" 1,737,537 "	" 63,477 "	27.3725	" 254,951 "	" 17,580 "	14.5024	 -   	 -   	0.0000	0 	0 	0.0000	"1,992,488"	"81,057"	24.5812	"4,437,701"	"173,042"	25.6453	"6,430,189"	"254,099"	25.3058
010157	10001	22520	01/01/2016	12/31/2016	" 2,880,861 "	" 101,581 "	28.3602	" 337,750 "	" 16,101 "	20.9770	" 80,230 "	" 8,679 "	9.2442	"131,234 "	"11,643 "	11.2715	"3,430,075"	"138,004"	24.8549	"10,389,032"	"293,350"	35.4151	"13,819,107"	"431,354"	32.0366
010158	10001	01	01/01/2016	12/31/2016	" 3,242,684 "	" 122,286 "	26.5172	" 152,285 "	" 6,330 "	24.0577	" 38,941 "	" 3,659 "	10.6425	0 	0 	0.0000	"3,433,910"	"132,275"	25.9604	"5,854,333"	"229,291"	25.5323	"9,288,243"	"361,566"	25.6889
010164	10001	01	01/01/2016	12/31/2016	" 4,757,094 "	" 173,718 "	27.3840	" 290,228 "	" 17,772 "	16.3311	" 308,551 "	" 32,038 "	9.6308	"251,014 "	"24,526 "	10.2344	"5,606,886"	"248,054"	22.6035	"10,265,728"	"496,974"	20.6565	"15,872,614"	"745,028"	21.3047
010168	10001	17980	01/01/2016	12/31/2016	" 4,272,577 "	" 144,750 "	29.5169	" 559,679 "	" 32,860 "	17.0322	" 139,563 "	" 11,613 "	12.0178	0 	0 	0.0000	"4,971,819"	"189,223"	26.2749	"7,621,920"	"339,087"	22.4778	"12,593,739"	"528,310"	23.8378
010169	10001	01	01/01/2016	12/31/2016	" 2,707,942 "	" 95,796 "	28.2677	" 248,771 "	" 15,909 "	15.6374	" 291,214 "	" 25,540 "	11.4024	"9,869 "	924 	10.6807	"3,257,796"	"138,169"	23.5784	"4,099,053"	"181,957"	22.5276	"7,356,850"	"320,126"	22.9811
020001	02001	11260	12/27/2015	12/24/2016	" 96,631,195 "	" 1,869,624 "	51.6848	" 2,428,191 "	" 72,728 "	33.3873	" 11,743,278 "	" 576,696 "	20.3630	"1,106,875 "	"54,396 "	20.3485	"111,909,539"	"2,573,444"	43.4863	"129,728,583"	"3,367,785"	38.5204	"241,638,122"	"5,941,229"	40.6714
020006	05901	11260	01/01/2016	12/31/2016	" 17,672,629 "	" 356,223 "	49.6111	" 734,331 "	" 19,310 "	38.0285	" 1,313,573 "	" 51,437 "	25.5375	0 	0 	0.0000	"19,720,533"	"426,970"	46.1872	"30,070,544"	"760,523"	39.5393	"49,791,077"	"1,187,493"	41.9296
020008	02001	02	12/20/2015	12/31/2016	" 7,907,081 "	" 174,188 "	45.3939	" 515,212 "	" 15,134 "	34.0433	" 951,264 "	" 39,456 "	24.1095	0 	0 	0.0000	"9,373,557"	"228,778"	40.9723	"18,811,514"	"513,984"	36.5994	"28,185,071"	"742,762"	37.9463
020012	05901	21820	01/01/2016	12/31/2016	" 19,957,351 "	" 472,284 "	42.2571	" 540,939 "	" 21,452 "	25.2163	" 2,390,742 "	" 115,270 "	20.7404	"1,227,276 "	"53,502 "	22.9390	"24,116,308"	"662,507"	36.4016	"60,120,346"	"1,877,986"	32.0132	"84,236,654"	"2,540,493"	33.1576
